age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
50;2;1;1;0;0;1;1;7;4;849;1;22;0;0;1.042021;93.918;42.7;4.961;5228.1;1
39;10;3;4;0;0;0;1;3;1;222;1;12;2;2;01.082021;93.369;34.8;0.639;5008.7;1
38;10;1;6;0;1;0;1;8;1;479;1;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
24;10;1;7;0;1;1;1;9;4;89;2;3;1;2;03.042021;92.379;29.082021;0.77;5017.5;1
60;1;3;6;0;1;0;1;9;3;481;1;22;1;1;01.012021;94.199;37.5;0.886;4963.6;1
52;1;1;0;0;1;0;2;4;3;403;1;6;1;2;01.082021;93.749;34.6;0.654;5008.7;1
32;2;1;3;0;0;0;1;11;1;1091;2;5;1;2;0.1;93.2;42.0;4.191;5195.8;1
39;10;2;6;2;0;0;2;6;1;432;4;22;0;0;1.042021;94.465;41.8;4.865;5228.1;1
51;8;1;4;2;1;0;2;7;1;596;3;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
31;10;2;4;0;1;1;1;8;4;768;1;22;0;0;1.042021;93.444;36.1;4.966;5228.1;1
47;8;2;3;0;2;2;2;6;2;835;3;22;0;0;1.042021;94.465;41.8;4.961;5228.1;1
45;1;2;7;0;0;0;1;8;2;505;1;22;0;0;1.042021;93.444;36.1;4.964;5228.1;1
41;3;1;7;0;1;0;1;11;4;854;1;22;0;0;0.1;93.2;42.0;4.153;5195.8;1
75;6;1;1;0;0;0;1;4;4;109;1;22;1;1;01.082021;93.075;47.1;1.405;5099.1;1
38;1;3;7;0;0;0;1;4;1;360;1;22;0;0;01.082021;93.075;47.1;1.392;5099.1;1
58;6;3;4;0;1;0;1;6;4;663;1;22;0;0;02.092021;92.963;40.8;1.262;5076.2;1
53;2;3;1;0;0;0;2;6;3;706;1;22;0;0;1.042021;94.465;41.8;4.959;5228.1;1
28;10;2;6;0;1;0;1;8;2;63;2;3;1;2;02.092021;92.201;31.4;0.851;5076.2;1
82;4;1;1;0;0;0;2;9;4;279;3;3;2;2;01.012021;94.199;37.5;0.877;4963.6;1
31;11;2;7;0;1;0;1;7;4;309;1;6;3;2;01.072021;94.215;40.3;0.835;4991.6;1
45;1;1;4;0;1;0;1;10;5;738;3;6;1;2;01.012021;94.601;49.5;1.029;4963.6;1
27;1;2;0;0;0;0;1;3;4;128;1;3;1;2;01.082021;93.369;34.8;0.637;5008.7;1
52;2;1;3;0;0;0;1;8;5;809;1;22;0;0;1.042021;93.444;36.1;4.966;5228.1;1
50;2;1;2;0;1;0;1;5;1;293;3;3;1;2;01.082021;92.893;46.2;1.354;5099.1;1
50;2;3;4;0;1;1;1;7;1;629;2;22;0;0;1.042021;93.918;42.7;1.041996;5228.1;1
76;6;2;1;0;0;0;1;11;1;347;4;6;1;2;03.042021;92.649;30.012021;0.715;5017.5;1
33;1;2;7;0;1;0;1;8;2;686;4;22;0;0;1.042021;93.444;36.1;4.963;5228.1;1
41;8;1;4;0;0;0;1;3;3;377;6;22;0;0;01.082021;92.843;50.0;1.778;5099.1;1
32;10;1;6;0;1;0;1;7;2;255;1;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
54;1;1;6;0;0;0;1;11;4;1868;2;10;1;2;01.012021;94.767;50.8;1.035;4963.6;1
58;2;1;3;0;1;0;1;8;1;846;1;22;0;0;1.042021;93.444;36.1;1.041997;5228.1;1
59;10;1;6;0;0;0;1;6;2;1207;4;22;1;1;01.072021;94.055;39.8;0.742;4991.6;1
26;10;2;7;0;1;0;1;7;5;806;3;6;2;2;01.072021;94.215;40.3;0.861;4991.6;1
57;6;1;3;0;0;0;1;8;4;388;4;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
36;2;1;3;2;0;0;1;5;3;951;3;22;1;1;01.082021;92.893;46.2;1.281;5099.1;1
29;1;2;7;0;1;0;1;3;1;215;1;22;0;0;01.082021;93.369;34.8;0.639;5008.7;1
81;6;1;1;0;0;0;1;5;1;617;2;22;0;0;01.082021;92.893;46.2;1.354;5099.1;1
34;1;1;4;0;1;0;1;6;3;238;1;6;2;2;01.072021;94.055;39.8;0.704;4991.6;1
48;10;1;6;0;1;0;1;8;5;336;8;22;0;0;1.042021;93.444;36.1;4.964;5228.1;1
30;11;1;4;0;0;0;1;5;1;417;1;3;1;2;01.082021;92.893;46.2;1.354;5099.1;1
45;2;1;4;0;1;1;1;11;1;449;2;5;3;2;01.012021;94.767;50.8;4.122021;4963.6;1
